voltage_v,current_a,temp_c,vibration_g,failure
226.08,12.72,60.4,0.1058,0
215.36,10.22,56.48,0.0488,0
232.96,8.7,45.27,0.0307,0
232.61,16.78,77.85,0.0106,0
230.05,11.31,71.05,0.025,0
227.65,8.36,100.51,0.0855,1
215.85,14.09,58.41,0.0584,0
225.79,6.21,59.21,0.2322,0
226.57,7.68,42.86,0.0204,0
221.98,12.87,69.95,0.0101,0
228.39,15.53,27.17,0.1692,0
234.04,10.68,33.56,0.022,0
248.86,11.07,63.26,0.1466,0
231.75,15.15,67.45,0.0334,0
232.58,15.32,50.71,0.0197,0
229.26,3.7,42.89,0.0309,0
210.81,17.93,60.52,0.1735,0
229.73,10.69,49.3,0.0614,0
230.6,9.01,48.92,0.0714,0
254.63,10.13,67.48,0.0566,0
228.08,6.54,103.92,0.1943,1
233.02,22.19,50.66,0.0238,1
229.65,6.78,60.09,0.0352,0
218.31,6.01,61.43,0.0481,0
241.43,10.95,46.4,0.0079,0
237.52,6.48,56.58,0.0504,0
237.91,12.49,57.3,0.1653,0
220.91,18.57,56.28,0.0116,1
244.03,12.66,51.38,0.0451,0
215.98,13.36,63.97,0.1437,0
235.87,10.84,58.19,0.119,0
251.9,7.84,26.09,0.1434,0
220.09,10.83,92.26,0.0105,1
224.34,16.22,45.52,0.0801,0
231.0,17.43,42.4,0.1529,0
224.97,12.17,26.65,0.1474,0
214.49,15.51,86.68,0.0701,1
230.69,8.9,45.0,0.1468,0
219.38,9.54,31.3,0.0837,0
234.74,5.6,51.12,0.2035,0
220.81,16.44,69.23,0.1334,0
245.5,9.7,52.54,0.0684,0
222.17,6.69,31.33,0.034,0
226.78,14.01,55.99,0.139,0
238.14,17.37,46.08,0.1973,0
217.69,10.52,69.65,0.0766,0
232.27,4.92,55.13,0.0191,0
243.07,10.7,65.68,0.1023,0
213.93,12.96,73.28,0.1603,0
231.85,14.38,61.51,0.0589,0
232.6,15.11,62.36,0.1398,0
237.82,12.3,66.65,0.0427,0
217.63,10.97,63.64,0.2004,0
216.8,14.74,42.89,0.0128,0
235.22,6.71,38.58,0.0492,0
232.97,8.12,97.54,0.0342,1
232.5,9.09,93.71,0.076,1
233.46,10.23,33.93,0.1152,0
223.2,6.47,50.26,0.0595,0
232.32,15.89,64.45,0.0813,0
232.93,7.15,63.89,0.1486,0
222.86,1.25,64.0,0.0352,0
248.66,15.95,45.1,0.0634,0
234.74,14.06,54.64,0.0113,0
218.09,11.76,76.9,0.0092,0
236.57,13.87,61.47,0.1629,0
220.25,12.43,52.72,0.0542,0
237.87,16.65,44.81,0.1904,0
241.59,8.93,73.52,0.0757,0
221.79,18.94,62.23,0.0154,1
239.63,15.79,54.47,0.0594,0
234.13,9.57,68.29,0.0733,0
238.22,8.94,58.29,0.0505,0
248.97,12.59,32.67,0.0745,0
227.55,7.51,69.57,0.0698,0
222.46,11.18,107.93,0.1025,1
221.1,17.38,41.49,0.1132,0
221.84,12.73,66.25,0.0916,0
229.23,20.38,51.1,0.0456,1
233.41,8.92,79.15,0.0853,0
232.77,13.81,62.24,0.0781,0
238.27,9.87,71.64,0.0401,0
230.13,11.17,32.98,0.0721,0
244.54,14.0,53.71,0.1239,0
227.35,9.07,35.31,0.1459,0
257.2,8.55,52.75,0.1051,0
236.26,10.14,63.66,0.0536,0
221.43,9.85,66.92,0.1664,0
219.29,7.96,61.13,0.1292,0
234.82,17.78,67.31,0.0381,0
227.77,10.78,52.59,0.0082,0
237.14,15.32,39.57,0.1259,0
234.73,15.03,62.15,0.0987,0
229.27,16.1,58.36,0.1405,0
221.53,6.66,86.06,0.1596,1
214.85,10.6,77.44,0.0292,0
225.53,14.75,77.76,0.0184,0
238.56,9.54,50.8,0.0574,0
232.14,17.95,60.32,0.0544,0
217.54,7.09,65.61,0.0582,0
231.73,15.28,44.94,0.1548,0
233.85,10.21,42.94,0.2052,0
221.16,16.2,48.71,0.0246,0
231.54,13.08,48.08,0.168,0
230.58,8.62,67.85,0.0745,0
218.57,15.28,65.01,0.0243,0
233.58,5.09,59.31,0.0445,0
235.61,10.61,61.79,0.0335,0
240.83,10.18,58.51,0.0424,0
240.54,13.73,54.45,0.1152,0
216.22,1.25,53.82,0.1322,0
220.62,12.93,32.6,0.0354,0
235.15,13.49,55.84,0.133,0
235.14,8.82,54.4,0.0515,0
235.15,10.78,49.82,0.0407,0
268.53,12.14,50.62,0.1109,0
235.71,15.78,60.61,0.0194,0
241.36,3.34,54.28,0.0313,0
239.54,11.77,71.33,0.0046,0
236.51,13.92,38.19,0.0923,0
226.85,14.5,74.15,0.0372,0
237.59,11.13,79.81,0.1441,0
222.27,14.29,71.75,0.049,0
227.63,11.71,27.34,0.0012,0
225.15,16.51,63.22,0.0158,0
230.82,8.66,42.34,0.0495,0
253.15,9.35,46.2,0.0712,0
211.33,13.85,54.39,0.1255,0
236.86,14.59,62.42,0.0368,0
213.87,14.01,72.91,0.1999,0
225.28,10.3,63.13,0.0689,0
240.89,10.36,50.57,0.127,0
230.64,11.95,83.3,0.1011,0
219.22,7.59,76.66,0.0707,0
222.85,8.73,36.03,0.1399,0
236.8,17.85,31.62,0.1311,0
222.7,11.33,37.72,0.0026,0
232.16,9.9,54.46,0.2219,0
230.46,9.68,52.51,0.1024,0
223.48,13.16,33.99,0.0272,0
251.44,20.43,81.5,0.1642,1
236.34,16.6,40.83,0.094,0
209.75,6.76,52.71,0.0109,0
231.86,17.13,54.01,0.3229,1
223.38,8.66,76.07,0.1439,0
238.52,9.41,71.54,0.0285,0
222.07,10.13,33.02,0.0326,0
228.85,7.3,33.54,0.1006,0
235.05,17.14,63.72,0.0747,0
238.66,9.68,68.32,0.0518,0
218.0,3.61,67.63,0.1848,0
226.65,8.61,69.23,0.1088,0
225.25,12.79,80.45,0.0949,0
223.47,5.12,75.26,0.2315,0
247.65,13.08,79.59,0.0064,0
234.05,8.45,68.68,0.0377,0
217.39,16.46,100.32,0.0207,1
239.18,13.82,74.63,0.0825,0
251.22,12.32,58.21,0.1026,0
240.32,5.8,75.51,0.1629,0
214.81,6.84,49.27,0.1238,0
225.16,9.69,66.71,0.0138,0
242.67,11.08,66.3,0.0181,0
222.92,18.12,71.37,0.2315,1
234.44,13.19,42.95,0.0641,0
237.75,10.47,77.45,0.0743,0
220.73,17.9,57.77,0.0292,0
229.4,11.64,77.74,0.1639,0
197.59,13.74,61.85,0.0405,0
219.76,18.21,63.21,0.1734,1
227.47,14.87,55.69,0.0413,0
217.52,13.77,55.01,0.1282,0
246.32,14.32,66.15,0.1532,0
215.7,11.74,55.17,0.0506,0
225.6,12.17,34.94,0.051,0
231.31,5.66,58.14,0.1161,0
244.41,9.16,21.2,0.0296,0
215.64,11.81,43.14,0.0192,0
241.63,13.85,45.0,0.0927,0
230.1,10.26,68.68,0.0887,0
220.18,21.56,98.27,0.1221,1
234.62,15.14,53.26,0.1211,0
231.99,12.99,64.85,0.0358,0
224.0,6.22,78.56,0.0263,0
230.7,11.77,63.6,0.1022,0
226.15,14.04,35.0,0.0332,0
231.14,11.63,50.18,0.1978,0
236.62,11.47,67.45,0.1883,0
245.86,11.37,68.62,0.1015,0
217.62,9.19,91.07,0.2205,1
251.33,7.0,66.56,0.0194,0
210.48,20.74,84.16,0.1071,1
228.48,7.99,48.3,0.013,0
235.88,10.13,25.46,0.0817,0
232.81,13.01,61.87,0.1616,0
223.77,3.78,96.91,0.1037,1
227.92,18.21,48.61,0.0609,1
225.07,16.68,90.91,0.0549,1
224.11,5.99,73.66,0.101,0
238.5,10.71,56.67,0.0952,0
233.57,15.83,56.43,0.0806,0
223.07,11.91,68.14,0.0273,0
239.0,16.0,31.94,0.1163,0
233.07,18.11,58.43,0.0645,1
238.13,8.68,68.57,0.0102,0
236.3,13.87,64.37,0.039,0
221.71,7.18,65.9,0.0739,0
224.4,10.14,63.82,0.0497,0
237.47,12.28,64.05,0.0683,0
236.1,12.59,58.13,0.0618,0
229.79,8.6,38.13,0.1487,0
231.17,14.39,71.81,0.1669,0
242.78,6.13,57.28,0.1367,0
224.08,8.48,59.65,0.1969,0
235.47,16.29,67.08,0.019,0
227.98,8.8,42.74,0.0224,0
227.82,13.09,60.71,0.0986,0
240.99,18.54,71.63,0.1327,1
238.25,11.93,63.78,0.2115,0
238.14,17.38,69.8,0.0471,0
243.05,6.58,38.94,0.112,0
230.21,9.64,64.48,0.0619,0
236.82,12.88,59.11,0.0562,0
226.9,7.87,48.43,0.0818,0
233.24,10.15,55.47,0.0266,0
228.7,12.58,61.09,0.2062,0
230.97,12.67,60.88,0.0813,0
235.95,10.75,82.01,0.0975,0
221.82,4.67,58.83,0.0405,0
250.92,9.41,73.41,0.0137,0
219.94,6.39,61.68,0.0623,0
217.86,11.7,49.84,0.065,0
241.58,11.84,55.9,0.0641,0
237.92,11.49,52.16,0.2178,0
236.24,8.23,69.28,0.0218,0
236.28,5.31,69.29,0.0652,0
229.88,17.72,37.37,0.091,0
221.03,12.08,56.92,0.052,0
230.76,10.75,70.82,0.1753,0
223.23,11.73,51.02,0.0839,0
239.75,6.63,61.04,0.1016,0
228.53,17.15,72.35,0.0849,0
221.75,9.14,53.33,0.0896,0
226.79,11.55,74.41,0.0327,0
234.13,13.94,64.36,0.0525,0
224.36,14.87,72.6,0.1068,0
221.78,11.91,71.99,0.1863,0
232.44,7.88,41.23,0.1882,0
232.45,14.39,81.81,0.0506,0
224.93,15.4,83.2,0.0014,0
225.29,16.69,58.97,0.0423,0
232.32,14.17,76.88,0.1967,0
215.52,20.38,61.94,0.0373,1
215.93,12.6,67.78,0.0259,0
222.82,12.8,86.87,0.0521,1
227.87,16.92,69.91,0.1715,0
233.11,18.44,50.38,0.0451,1
244.75,17.55,57.72,0.0478,0
238.58,11.68,53.82,0.1475,0
228.4,15.05,52.44,0.0941,0
229.81,16.25,63.31,0.1716,0
219.97,12.25,56.49,0.0812,0
229.81,8.61,68.48,0.1011,0
227.11,7.99,66.91,0.0262,0
233.23,13.51,67.76,0.1065,0
221.73,15.51,57.38,0.0303,0
235.19,10.17,67.07,0.1874,0
245.33,8.94,60.29,0.0256,0
228.91,9.94,63.3,0.1172,0
234.02,12.6,56.01,0.038,0
236.9,15.12,50.77,0.2211,0
225.99,13.49,51.9,0.1263,0
232.24,12.03,77.33,0.0562,0
230.13,17.56,84.54,0.0935,0
230.98,22.89,57.72,0.0671,1
222.27,12.05,58.32,0.0883,0
230.25,18.43,28.44,0.0121,1
234.98,9.25,57.39,0.131,0
244.51,16.57,39.53,0.05,0
239.59,8.71,77.3,0.0708,0
251.53,10.58,39.65,0.083,0
222.33,11.84,72.1,0.0192,0
238.72,4.31,86.03,0.0737,1
231.83,4.71,67.46,0.0339,0
251.9,8.6,42.76,0.0386,0
221.92,17.3,55.85,0.0345,0
221.6,11.04,58.05,0.0171,0
224.01,15.66,69.89,0.0671,0
208.76,5.42,32.35,0.0642,0
224.74,13.44,45.13,0.0955,0
222.41,13.76,91.96,0.0777,1
231.5,8.16,80.64,0.0166,0
233.42,19.45,61.08,0.0643,1
248.76,6.97,44.82,0.1343,0
239.5,11.03,55.52,0.0928,0
224.23,21.82,72.65,0.1616,1
221.02,8.19,59.31,0.0188,0
234.92,9.51,58.45,0.1202,0
216.8,12.62,84.0,0.1101,0
248.31,6.69,65.76,0.0799,0
241.79,14.07,51.58,0.164,0
225.31,4.88,75.47,0.0322,0
212.87,12.0,59.65,0.0464,0
243.54,17.79,50.6,0.0673,0
228.85,14.56,63.48,0.0371,0
242.38,11.84,84.46,0.1816,0
214.06,10.71,72.48,0.1398,0
224.01,11.66,64.37,0.0258,0
230.05,10.85,49.5,0.2268,0
230.47,13.59,82.37,0.1957,0
225.5,14.58,71.74,0.0943,0
236.23,12.57,56.86,0.1374,0
219.32,14.8,78.63,0.0326,0
228.58,14.06,81.75,0.0391,0
231.2,7.02,40.49,0.1945,0
235.14,2.66,36.61,0.0638,0
237.12,12.69,58.13,0.2626,0
218.75,10.2,70.71,0.144,0
214.66,12.81,62.43,0.0868,0
242.78,18.69,79.25,0.0507,1
233.32,10.93,81.32,0.1314,0
222.52,13.24,45.71,0.0038,0
245.51,8.62,52.59,0.0544,0
231.16,13.97,49.6,0.1591,0
241.79,8.87,51.41,0.1419,0
230.68,16.0,58.02,0.0048,0
250.61,12.49,53.4,0.0966,0
247.55,11.42,58.55,0.0788,0
227.51,5.45,39.86,0.0169,0
239.72,6.51,90.67,0.137,1
236.45,14.32,53.61,0.1063,0
243.69,16.65,62.0,0.0108,0
220.35,12.97,81.04,0.0419,0
236.86,11.09,49.27,0.1033,0
240.58,12.19,90.36,0.0802,1
212.41,11.43,66.6,0.2522,0
218.17,9.19,70.57,0.2162,0
209.61,6.6,73.62,0.0831,0
227.31,6.63,64.71,0.0415,0
237.18,9.25,54.85,0.1212,0
245.02,12.37,72.69,0.007,0
230.74,6.69,57.58,0.0248,0
246.29,11.71,67.03,0.1628,0
216.2,9.0,34.65,0.0932,0
212.97,5.31,66.54,0.1157,0
229.44,9.43,78.69,0.0541,0
233.84,12.95,82.41,0.0965,0
229.67,9.48,57.09,0.2189,0
209.33,17.91,55.85,0.0137,0
229.11,14.49,42.25,0.0708,0
216.96,16.22,53.29,0.0539,0
236.7,24.43,39.96,0.0618,1
233.67,9.71,77.84,0.1915,0
220.6,6.27,82.49,0.0431,0
224.86,8.86,39.9,0.068,0
219.41,12.27,57.77,0.0945,0
229.37,13.57,72.32,0.1128,0
239.55,12.74,48.54,0.0971,0
220.14,10.21,50.12,0.0049,0
235.04,13.65,49.73,0.0728,0
224.7,16.57,59.97,0.1758,0
222.07,8.99,66.12,0.0112,0
228.93,8.28,47.93,0.0251,0
219.65,19.86,70.72,0.2181,1
224.46,7.5,54.6,0.09,0
218.02,15.39,51.0,0.0314,0
249.65,11.21,46.55,0.1981,0
230.35,17.94,50.93,0.0125,0
223.0,10.84,56.7,0.1309,0
232.14,13.59,81.89,0.2531,0
228.88,6.75,27.53,0.0415,0
227.79,9.29,62.68,0.3004,1
236.14,12.99,74.47,0.0559,0
237.58,9.33,70.54,0.0834,0
224.69,6.86,66.82,0.158,0
224.24,20.5,62.52,0.2028,1
227.25,11.92,86.15,0.0501,1
206.98,16.58,68.94,0.0941,0
214.85,19.63,80.56,0.0886,1
243.67,9.91,60.59,0.1373,0
246.45,11.66,80.21,0.0092,0
227.51,12.31,68.23,0.0912,0
235.77,13.89,78.65,0.018,0
233.11,16.47,59.08,0.048,0
260.79,15.9,63.37,0.0597,0
241.2,14.88,57.79,0.0303,0
228.72,10.71,55.21,0.1085,0
220.44,11.97,56.48,0.1405,0
213.94,6.99,45.99,0.1511,0
232.03,14.85,55.7,0.2365,0
222.44,21.24,88.68,0.0624,1
215.78,13.05,76.51,0.2192,0
223.53,17.59,75.25,0.0498,0
219.18,15.35,62.24,0.1464,0
246.87,9.82,67.0,0.2567,0
238.82,8.46,65.03,0.1553,0
229.92,7.45,70.67,0.1331,0
244.8,12.48,49.9,0.0831,0
230.77,14.23,18.18,0.0382,0
221.39,14.44,73.83,0.0766,0
245.23,7.46,64.87,0.1788,0
235.39,16.93,46.22,0.08,0
219.63,9.78,57.26,0.0489,0
228.1,12.49,83.65,0.151,0
221.24,9.43,77.72,0.0711,0
216.17,7.27,85.5,0.0717,1
239.26,6.96,64.19,0.0277,0
249.09,14.84,28.88,0.0271,0
216.01,11.96,75.67,0.0678,0
235.63,7.6,67.2,0.1383,0
223.49,9.52,60.98,0.0432,0
225.13,17.69,64.3,0.0017,0
224.08,15.53,79.85,0.1181,0
221.36,14.45,67.83,0.0388,0
230.49,20.44,40.18,0.0607,1
221.69,18.01,42.63,0.0306,1
232.7,12.14,52.27,0.0765,0
229.5,9.83,47.48,0.0406,0
227.61,22.34,68.04,0.051,1
220.92,16.82,78.52,0.0376,0
224.23,9.82,57.74,0.0097,0
237.55,6.67,66.44,0.106,0
235.01,3.01,63.31,0.1327,0
220.22,6.88,46.64,0.0353,0
230.99,10.08,53.08,0.0599,0
237.51,17.36,46.97,0.0112,0
213.31,15.96,69.39,0.143,0
235.43,13.07,34.72,0.0808,0
223.37,14.46,64.71,0.1632,0
235.71,8.87,47.73,0.0561,0
222.37,6.77,69.44,0.0949,0
211.95,11.08,72.41,0.0368,0
213.72,15.95,87.15,0.0892,1
230.48,12.18,59.79,0.0495,0
232.6,14.84,36.35,0.0551,0
220.96,12.15,46.48,0.09,0
236.39,6.81,66.03,0.0725,0
213.38,13.15,57.66,0.0605,0
229.34,10.46,53.64,0.0509,0
217.89,16.34,75.41,0.1868,0
223.48,5.68,44.84,0.1423,0
230.47,18.13,61.66,0.0797,1
221.4,7.07,53.15,0.0109,0
226.15,10.87,65.81,0.0938,0
240.06,6.06,80.14,0.1549,0
224.23,16.06,55.47,0.0643,0
238.36,7.54,46.64,0.0186,0
218.7,9.82,80.53,0.0285,0
235.3,16.16,38.07,0.082,0
244.42,9.96,52.72,0.082,0
205.28,11.69,72.6,0.076,0
222.03,14.34,53.71,0.0815,0
235.77,13.41,73.87,0.0587,0
227.97,12.86,70.33,0.0165,0
233.71,9.66,53.6,0.1133,0
223.96,10.43,25.97,0.1029,0
230.87,13.74,54.75,0.073,0
228.44,10.85,64.93,0.0968,0
241.68,13.02,50.82,0.1599,0
232.54,4.32,59.76,0.1865,0
233.38,11.89,89.15,0.0427,1
225.88,14.13,65.51,0.1859,0
225.12,14.65,67.47,0.0535,0
225.67,11.16,38.24,0.1933,0
233.94,13.28,65.59,0.0294,0
225.79,9.58,61.33,0.0033,0
232.9,17.66,55.59,0.1105,0
250.75,10.64,65.27,0.2267,0
238.71,17.1,84.08,0.0211,0
226.74,11.56,32.98,0.1029,0
242.01,7.35,75.8,0.3442,1
225.92,11.07,60.54,0.046,0
209.62,8.01,43.92,0.037,0
219.92,10.91,69.43,0.053,0
211.29,7.89,50.81,0.1239,0
226.48,11.09,47.32,0.1518,0
230.18,15.93,49.0,0.0188,0
246.76,17.73,55.46,0.0708,0
233.27,9.54,38.17,0.0807,0
227.81,14.9,38.84,0.0397,0
238.29,18.08,31.83,0.1296,1
207.89,7.35,55.56,0.0495,0
232.36,5.15,50.46,0.0114,0
237.71,6.47,41.99,0.065,0
215.21,11.81,58.31,0.0829,0
241.44,3.3,70.94,0.1069,0
233.38,16.59,27.72,0.0449,0
225.85,3.07,76.0,0.1304,0
236.33,11.96,61.96,0.1673,0
252.71,13.28,64.21,0.1514,0
231.82,14.77,76.19,0.0328,0
232.48,16.52,70.4,0.0324,0
225.41,18.56,48.07,0.1924,1
221.5,13.57,49.01,0.2647,0
238.3,9.62,68.92,0.1035,0
221.44,12.75,59.62,0.0126,0
230.72,13.59,45.64,0.0701,0
225.22,12.96,61.61,0.1235,0
234.79,10.09,63.09,0.0256,0
233.34,16.83,72.49,0.1115,0
240.38,10.45,55.87,0.168,0
224.9,11.52,49.4,0.0814,0
227.3,8.64,57.19,0.0081,0
220.21,15.71,52.57,0.1194,0
225.56,20.78,69.83,0.0876,1
233.77,16.8,51.86,0.1804,0
237.57,7.71,89.92,0.0284,1
220.78,8.77,54.74,0.0059,0
238.7,5.76,50.3,0.052,0
243.56,13.22,55.96,0.1346,0
234.13,13.93,95.87,0.0611,1
248.77,9.3,67.79,0.0502,0
222.26,9.79,70.63,0.1058,0
217.55,4.39,55.02,0.095,0
212.21,11.55,42.54,0.0748,0
244.96,9.21,42.73,0.1123,0
236.54,9.25,52.94,0.0665,0
229.44,21.15,69.37,0.158,1
232.8,14.67,42.9,0.1218,0
218.75,11.89,49.0,0.1768,0
254.46,12.9,52.89,0.0933,0
231.29,9.99,92.13,0.0837,1
231.09,15.88,75.62,0.0658,0
237.26,10.91,47.46,0.0532,0
234.81,7.66,54.7,0.2451,0
232.24,18.52,51.44,0.0977,1
222.1,8.85,67.4,0.1217,0
234.71,20.21,77.28,0.0155,1
248.82,15.63,47.75,0.0532,0
243.45,14.72,44.14,0.1246,0
245.93,8.16,51.12,0.1411,0
224.89,17.88,78.18,0.1183,0
220.1,21.57,65.65,0.0735,1
228.74,7.94,48.62,0.0244,0
230.56,11.67,77.97,0.0864,0
240.94,8.41,55.69,0.05,0
213.08,10.62,58.38,0.0778,0
245.3,11.32,113.84,0.0512,1
228.42,17.18,85.45,0.1038,1
225.73,6.3,63.55,0.0065,0
219.88,14.88,66.16,0.0931,0
213.45,15.04,60.3,0.0662,0
238.23,8.33,63.25,0.0506,0
230.73,12.1,31.06,0.1705,0
217.1,9.71,54.02,0.0289,0
217.05,12.49,66.49,0.1275,0
226.64,19.4,50.17,0.0872,1
246.69,8.51,45.83,0.1168,0
227.4,13.19,73.68,0.0303,0
214.97,8.32,28.89,0.0359,0
227.54,14.9,60.15,0.0834,0
227.27,13.29,42.08,0.1545,0
203.03,14.38,79.29,0.0378,0
229.46,9.89,54.84,0.0282,0
227.69,7.44,46.73,0.0383,0
236.96,5.64,66.55,0.0378,0
248.49,12.04,79.15,0.1166,0
241.27,14.15,46.56,0.0773,0
227.31,13.58,38.52,0.1241,0
218.93,14.94,54.28,0.043,0
255.73,9.84,67.03,0.0377,0
230.59,11.62,52.14,0.0612,0
230.14,2.62,78.73,0.0653,0
229.76,11.45,62.63,0.1552,0
231.98,18.96,54.57,0.124,1
228.56,12.74,53.63,0.0952,0
224.26,20.01,70.86,0.0545,1
224.53,13.74,48.63,0.0406,0
229.67,15.99,39.78,0.0867,0
224.57,14.85,53.2,0.1663,0
222.87,15.33,63.54,0.1619,0
231.06,13.31,45.54,0.0217,0
227.45,15.41,34.6,0.1172,0
245.04,9.97,64.89,0.1176,0
203.49,17.36,53.45,0.0084,0
240.92,18.23,56.97,0.1254,1
242.46,13.58,70.95,0.0933,0
209.27,10.56,62.13,0.0109,0
226.57,7.17,43.03,0.0942,0
226.29,13.54,32.18,0.2026,0
215.92,11.92,67.13,0.0499,0
222.22,9.42,70.19,0.0796,0
218.89,8.06,65.76,0.1666,0
247.52,7.79,67.76,0.0155,0
239.36,12.25,56.87,0.1775,0
242.72,13.93,78.05,0.0656,0
237.22,14.09,61.22,0.0806,0
218.71,24.83,51.74,0.0444,1
224.75,14.91,79.57,0.1223,0
234.89,16.45,62.35,0.0543,0
217.78,12.02,58.07,0.1373,0
237.13,6.44,50.75,0.1001,0
227.6,10.31,71.35,0.0543,0
226.25,19.16,69.96,0.0389,1
237.11,8.7,51.54,0.1016,0
234.44,12.33,70.21,0.0202,0
226.39,12.2,80.89,0.1403,0
241.59,18.18,63.42,0.1732,1
219.19,14.18,64.54,0.063,0
236.16,14.44,50.34,0.0113,0
235.93,11.42,47.61,0.2178,0
226.9,3.06,42.05,0.0754,0
233.26,10.43,54.45,0.1833,0
217.49,11.92,53.0,0.285,0
239.24,12.69,52.68,0.1091,0
228.15,9.28,96.16,0.0525,1
224.77,6.37,48.22,0.108,0
240.49,15.07,32.87,0.2363,0
222.96,10.72,66.97,0.0264,0
215.92,11.97,75.88,0.0736,0
214.43,5.07,53.27,0.0588,0
236.06,11.04,60.26,0.0422,0
217.2,14.87,43.32,0.0793,0
247.55,13.26,63.83,0.0112,0
209.18,10.36,38.55,0.0512,0
246.96,9.85,83.43,0.0406,0
232.11,11.26,85.52,0.1231,1
229.03,13.45,50.04,0.0189,0
224.55,13.41,73.15,0.0951,0
233.99,14.23,72.82,0.0516,0
229.62,15.29,66.13,0.1333,0
241.03,12.45,23.19,0.0245,0
231.14,18.9,46.88,0.1053,1
231.5,14.65,72.69,0.0524,0
226.36,9.03,63.81,0.0262,0
229.43,13.34,75.55,0.0513,0
233.08,14.14,63.47,0.0602,0
212.9,15.04,39.23,0.037,0
216.52,10.29,53.71,0.0757,0
237.43,4.19,71.28,0.0073,0
231.71,17.8,39.79,0.2232,0
228.16,11.6,41.73,0.082,0
230.18,3.61,63.63,0.0155,0
233.48,10.9,56.84,0.1399,0
224.6,14.97,36.81,0.0292,0
222.22,7.72,55.57,0.0879,0
231.96,7.67,48.8,0.1256,0
220.22,11.0,67.22,0.049,0
234.08,12.42,47.54,0.0392,0
212.97,9.68,47.25,0.0535,0
240.29,10.53,40.46,0.0386,0
234.73,15.25,76.13,0.0556,0
232.56,12.06,64.78,0.108,0
